"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","Digi APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot"
"46","Lufkin Local 9","440.00000","445.00000","D-Digital","Low","12.5K","Off","Off","Lufkin Local 9","Group Call","9","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","2","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","On","Off","On","Digital","2","0","Off","0","1","0","255","255"
"47","HS PARROT 9990","433.00000","433.00000","D-Digital","Low","12.5K","Off","Off","Parrot","Private Call","9990","Danny","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"48","HS PARROT 9991","433.00000","433.00000","D-Digital","Low","12.5K","Off","Off","Parrot","Private Call","9990","Danny","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"49","Hou Cactus","441.87500","446.87500","D-Digital","High","12.5K","Off","Off","Southern Plains","Group Call","3175","Danny","Always","Carrier","Off","1","1","1","Off","2","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"50","Hou Galleria L2","443.75000","448.75000","D-Digital","High","12.5K","Off","Off","LOCAL 2","Group Call","2","Danny","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"51","Hou Galleria TX","443.75000","448.75000","D-Digital","High","12.5K","Off","Off","Texas","Group Call","3148","Danny","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"52","Hou Metro","441.87500","446.87500","D-Digital","High","12.5K","Off","Off","Houston Metro","Group Call","8207","Danny","Always","Carrier","Off","1","1","1","Off","2","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"53","Hou N.A.","441.87500","446.87500","D-Digital","High","12.5K","Off","Off","N America 3 MARC","Group Call","3","Danny","Always","Carrier","Off","1","1","1","Off","2","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"54","Hou SE Tx EmComm","441.87500","446.87500","D-Digital","High","12.5K","Off","Off","SE Tx EmComm","Group Call","8686","Danny","Always","Carrier","Off","1","1","1","Off","2","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"55","Hou TAC.310","441.87500","446.87500","D-Digital","High","12.5K","Off","Off","TAC-310 USA DMRX","Group Call","310","Danny","Always","Carrier","Off","1","1","1","Off","2","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"56","Hou Tx State","441.87500","446.87500","D-Digital","High","12.5K","Off","Off","Texas","Group Call","3148","Danny","Always","Carrier","Off","1","1","1","Off","2","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"57","Hou W.W.","441.87500","446.87500","D-Digital","High","12.5K","Off","Off","13 WW ENG","Group Call","13","Danny","Always","Carrier","Off","1","1","1","Off","2","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"58","Hou2  Metro","441.77500","446.77500","D-Digital","High","12.5K","Off","Off","Houston Metro","Group Call","8207","Danny","Always","Carrier","Off","1","1","1","Off","7","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
